validator	P1	P2	P3	P4	P5	min	max	spread
1582817	472	478	337	362	360	337	478	141
232411	428	477	352	343	370	343	477	134
371226	489	485	396	383	345	345	489	144
401592	473	478	346	363	386	346	478	132
2004185	494	480	352	397	378	352	494	142
2133641	479	478	352	363	360	352	479	127
2039656	487	484	352	395	377	352	487	135
770378	375	483	391	405	360	360	483	123
162782	391	386	368	368	386	368	391	23
1717260	483	466	427	368	436	368	483	115
732982	502	484	392	369	431	369	502	133
228896	512	502	418	405	370	370	512	142
1612790	473	485	382	395	377	377	485	108
930844	503	480	391	404	378	378	503	125
2210401	487	484	441	381	442	381	487	106
930409	508	483	396	404	386	386	508	122
2136118	508	485	427	395	411	395	508	113
1920633	498	502	402	416	396	396	502	106
1806544	483	421	458	397	426	397	483	86
1681388	487	422	458	397	427	397	487	90
1872656	509	482	417	405	418	405	509	104
1327912	502	503	412	436	406	406	503	97
2152705	439	503	409	479	500	409	503	94
2013953	409	503	411	479	511	409	511	102
1881442	512	509	416	436	417	416	512	96
1884966	508	510	418	437	417	417	510	93
1876987	517	521	418	436	417	417	521	104
1879525	512	520	417	436	417	417	520	103
1843149	504	510	417	436	417	417	510	93
1822788	507	520	418	436	418	418	520	102
1767773	522	483	454	422	468	422	522	100
1733241	523	483	454	422	468	422	523	101
1769270	537	482	468	427	481	427	537	110
471580	552	572	435	495	458	435	572	137
1253720	528	480	482	436	502	436	528	92
1995686	532	542	436	498	481	436	542	106
575182	524	483	437	436	442	436	524	88
582119	533	542	437	498	482	437	542	105
2166703	557	572	437	521	519	437	572	135
1820079	512	534	442	480	468	442	534	92
424910	508	522	472	444	501	444	522	78
1631270	463	628	557	540	564	463	628	165
539809	535	533	489	463	472	463	535	72
2163243	544	572	511	467	513	467	572	105
1995321	547	502	511	467	509	467	547	80
1666940	598	628	476	574	558	476	628	152
2185535	542	542	530	479	523	479	542	63
494373	529	510	530	479	519	479	530	51
407884	548	480	489	507	534	480	548	68
1573975	549	503	527	480	511	480	549	69
421242	549	480	511	521	559	480	559	79
347620	522	590	530	480	539	480	590	110
1091159	550	591	530	480	513	480	591	111
28373	567	572	530	480	523	480	572	92
838586	548	571	489	507	539	489	571	82
548157	580	571	497	520	534	497	580	83
2021315	618	640	515	549	559	515	640	125
2125739	592	542	530	519	544	519	592	73
2185663	583	542	530	521	534	521	583	62
2134816	583	541	530	521	534	521	583	62
2112990	558	641	572	572	574	558	641	83
858212	619	571	607	562	574	562	619	57
2217205	618	667	587	573	572	572	667	95
732585	626	666	607	573	574	573	666	93
1947839	653	683	607	574	594	574	683	109
1159409	672	730	577	601	599	577	730	153
1677999	661	730	577	616	600	577	730	153
2214903	633	666	577	601	600	577	666	89
2233375	628	666	602	592	589	589	666	77
454321	589	629	625	610	629	589	629	40
48384	592	629	625	610	629	592	629	37
390687	666	711	592	601	600	592	711	119
390697	672	730	592	601	600	592	730	138
1876082	673	730	662	626	604	604	730	126
2089234	617	667	612	616	613	612	667	55
702850	657	698	647	616	624	616	698	82
1585565	673	730	638	626	643	626	730	104
390085	673	640	662	626	643	626	673	47
1737133	683	740	638	667	662	638	740	102
847663	683	754	638	662	662	638	754	116
1596200	673	667	701	655	668	655	701	46
339410	683	739	692	655	664	655	739	84
339605	683	738	692	655	668	655	738	83
1306497	727	769	699	675	656	656	769	113
1368588	727	769	689	675	658	658	769	111
952964	773	831	692	712	703	692	831	139
1268499	717	770	716	695	708	695	770	75
1954618	776	771	742	695	713	695	776	81
1016609	782	841	696	727	712	696	841	145
1614480	757	730	747	699	719	699	757	58
1359239	761	831	723	699	718	699	831	132
1123964	727	770	712	699	709	699	770	71
1797122	708	860	782	727	724	708	860	152
2169777	736	780	723	712	713	712	780	68
1971633	742	770	723	712	718	712	770	58
1483320	773	853	738	727	713	713	853	140
1600821	717	866	787	740	733	717	866	149
1566118	717	873	787	740	734	717	873	156
833360	782	739	752	717	733	717	782	65
1593569	797	852	757	721	738	721	852	131
395807	822	860	727	746	729	727	860	133
1457354	796	852	757	727	742	727	852	125
1100688	802	852	771	746	749	746	852	106
832629	811	770	752	763	763	752	811	59
93463	827	780	799	791	759	759	827	68
94163	827	812	802	799	759	759	827	68
1517551	823	858	817	770	759	759	858	99
94290	817	781	799	791	763	763	817	54
1360687	823	858	822	770	778	770	858	88
609303	827	771	802	790	783	771	827	56
2162300	831	908	861	791	774	774	908	134
2231761	831	907	861	791	778	778	907	129
2205352	782	852	783	791	783	782	852	70
117346	832	909	783	807	792	783	909	126
273134	832	900	783	818	792	783	900	117
354390	827	909	799	807	825	799	909	110
1537066	811	885	841	852	841	811	885	74
2211664	896	926	882	860	828	828	926	98
1205395	871	858	882	845	864	845	882	37
1217985	871	860	882	845	864	845	882	37
1220115	871	860	882	845	863	845	882	37
1515226	926	978	882	898	870	870	978	108
1435905	941	987	947	912	893	893	987	94
1274109	922	1036	997	941	933	922	1036	114
1294740	922	987	997	941	933	922	997	75
1286578	922	1036	997	939	933	922	1036	114
1274309	922	1036	997	941	933	922	1036	114
2097283	986	1022	1019	974	988	974	1022	48
280853	986	1022	1019	974	993	974	1022	48
1237013	982	1003	998	980	979	979	1003	24
1287894	982	1003	998	985	982	982	1003	21
